Sector,ClusterLabel,ManualTier,Agreement,EndIndex,ConsecutiveSlowYears,LAYER1_context_review,LAYER2_sandbox_pilot,LAYER2_pilot_timing,LAYER3_amlctf_gate,LAYER4_disclosure_required,DOC_LAYER1,DOC_LAYER2,DOC_LAYER3,DOC_LAYER4
Jewelry,Slow (model),Slow adopters,True,144.55616859782984,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Education,Slow (model),Slow adopters,True,224.2284855663267,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Health,Slow (model),Slow adopters,True,279.50670099652024,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Clothing and Footwear,Slow (model),Slow adopters,True,281.3408598705945,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Hotels,Slow (model),Slow adopters,True,288.82858837485173,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Recreation and Culture,Slow (model),Slow adopters,True,365.5691170501104,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Electronic & Electric Devices,Slow (model),Slow adopters,True,380.4912751396839,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Furniture,Slow (model),Slow adopters,True,446.6551328280465,5,True,True,"Jan-Feb 2024 (approx. 1-2 months ahead of Ramadan 2024, ~March 10 2024)",DORMANT (requires independent transaction-level evidence),True,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)","SAMA Regulatory Sandbox / ""Permitted Fintechs"" program; Fintech Saudi Annual Fintech Report",SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),Fintech Saudi Annual Fintech Report (public KPI disclosure precedent)
Transportation,Moderate (model),Moderate adopters,True,612.245580352982,0,False,False,N/A,DORMANT (requires independent transaction-level evidence),False,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)",N/A,SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),N/A
Construction & Building Materials,Moderate (model),Moderate adopters,True,653.0187656033964,0,False,False,N/A,DORMANT (requires independent transaction-level evidence),False,"ITU AI Readiness report, Dimension 4 (Contextualization & Regional Impact)",N/A,SAMA AML/CTF Guidelines; SAMA Rules on Outsourcing (data-handling boundary),N/A
